CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID
840,North Carolina,232,BULLOCK,TRUE,36.4516207,-78.4392029,11,29,1,1
840,North Carolina,233,ASHLAND,TRUE,36.2956484,-79.4955592,11,29,1,1
840,North Carolina,234,MOUNT AIRY,TRUE,36.4958508,-80.5361312,11,29,1,1
840,North Carolina,301,STURGILLS,TRUE,36.5567273,-81.4877504,23,28,1,1
840,North Carolina,302,SILOAM,TRUE,36.3460787,-80.6053549,11,29,1,1
840,North Carolina,303,OSMOND,TRUE,36.4747308,-79.1152367,11,29,1,1
840,North Carolina,304,GUPTON,TRUE,36.176991,-78.2113363,11,29,1,1
840,North Carolina,305,RHEASVILLE,TRUE,36.4653338,-77.694212,4,27,1,1
840,North Carolina,306,OLD TRAP,TRUE,36.1860407,-76.0089199,3,27,1,1
840,North Carolina,307,PINELOG,TRUE,34.9969557,-83.9654629,23,28,1,1
840,North Carolina,308,FRENCH BROAD RIVER,TRUE,35.1436807,-82.8386369,23,28,1,1
840,North Carolina,309,MCGINNIS CROSSROAD,TRUE,35.2125177,-82.0002509,11,29,1,1
840,North Carolina,310,OSTWALT,TRUE,35.6825702,-80.8610815,11,29,1,1
840,North Carolina,311,JONES CORNER,TRUE,35.1020747,-77.1960089,3,27,1,1
840,North Carolina,312,DUDLEY,TRUE,35.2683392,-78.052876,4,27,1,1
840,North Carolina,313,CONGLETON,TRUE,35.7523027,-77.2310819,3,27,1,1
840,North Carolina,314,LAKE SURF,TRUE,35.1749287,-79.3606499,4,27,1,1
840,North Carolina,315,BETHEL,TRUE,34.9528807,-79.2812189,4,27,1,1
840,North Carolina,316,CYPRESS LAKES,TRUE,34.9303027,-78.8536599,4,27,1,1
840,North Carolina,317,BELGRADE,TRUE,34.9002767,-77.3607189,3,27,1,1
840,North Carolina,318,GOLDSTON,TRUE,35.5906977,-79.3326419,11,29,1,1
840,North Carolina,319,ERNUL,FALSE,35.2437321,-77.0602263,3,27,1,1
840,North Carolina,329,JARVISBURG 2,TRUE,36.4199384,-75.9245906,3,27,1,1
840,North Carolina,419,Cayton,TRUE,35.266597,-76.996044,3,27,1,1
840,North Carolina,900,RAEFORD,TRUE,35.0090297,-79.3092799,4,27,1,2
840,North Carolina,902,SHEEP RIDGE,TRUE,35.0457687,-77.0695279,3,27,1,2
840,North Carolina,903,BROAD CREEK,TRUE,34.7300597,-76.9359209,3,27,1,2
840,North Carolina,904,UWHARRIE NF,FALSE,35.3008077,-79.8933019,11,29,1,2
840,North Carolina,906,WATERVILLE,TRUE,35.7720827,-83.1013189,23,28,1,2
