CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID
"840","63","305",RHEASVILLE,true,36.4653338,-77.694212,"4","27","1","1"
"840","63","306",OLD TRAP,true,36.1860407,-76.0089199,"3","27","1","1"
"840","63","307",PINELOG,true,34.9969557,-83.9654629,"23","28","1","1"
"840","63","308",FRENCH BROAD RIVER,true,35.1436807,-82.8386369,"23","28","1","1"
"840","63","309",MCGINNIS CROSSROAD,true,35.2125177,-82.0002509,"11","29","1","1"
"840","63","310",OSTWALT,true,35.6825702,-80.8610815,"11","29","1","1"
"840","63","311",JONES CORNER,true,35.1020747,-77.1960089,"3","27","1","1"
"840","63","312",DUDLEY,true,35.2683392,-78.052876,"4","27","1","1"
"840","63","313",CONGLETON,true,35.7523027,-77.2310819,"3","27","1","1"
"840","63","314",LAKE SURF,true,35.1749287,-79.3606499,"4","27","1","1"
"840","63","315",BETHEL,true,34.9528807,-79.2812189,"4","27","1","1"
"840","63","316",CYPRESS LAKES,true,34.9303027,-78.8536599,"4","27","1","1"
"840","63","317",BELGRADE,true,34.9002767,-77.3607189,"3","27","1","1"
"840","63","318",GOLDSTON,true,35.5906977,-79.3326419,"11","29","1","1"
"840","63","319",ERNUL,false,35.2437321,-77.0602263,"3","27","1","1"
"840","63","329",JARVISBURG 2,true,36.4199384,-75.9245906,"3","27","1","1"
"840","63","419",Cayton,true,35.266597,-76.996044,"3","27","1","1"
"840","63","900",RAEFORD,true,35.0090297,-79.3092799,"4","27","1","2"
"840","63","902",SHEEP RIDGE,true,35.0457687,-77.0695279,"3","27","1","2"
"840","63","903",BROAD CREEK,true,34.7300597,-76.9359209,"3","27","1","2"
"840","63","904",UWHARRIE NF,false,35.3008077,-79.8933019,"11","29","1","2"
"840","63","906",WATERVILLE,true,35.7720827,-83.1013189,"23","28","1","2"
"840","63","907",N. MILLS RIV,false,35.4069697,-82.6432199,"23","28","1","2"
"840","63","908",BUSICK,false,35.7697307,-82.1982639,"23","28","1","2"
"840","63","909",TABLE ROCK,false,35.8568197,-81.7896509,"23","28","1","2"
"840","63","910",HIGHLANDS,true,35.0399431,-83.2023406,"23","28","1","2"
"840","63","911",KYLE,true,35.2232814,-83.6042224,"23","28","1","2"
"840","63","912",ANDREWS,false,35.2345817,-83.8530349,"23","28","1","2"
"840","63","913",WASHINGTON,true,35.6115051,-77.0140105,"3","27","1","2"
"840","63","914",GREEN SWAMP,false,34.125,-78.3944444,"3","27","1","2"
"840","63","915",SPRING HOPE,true,35.2353943,-76.9257639,"3","27","1","2"
